"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 11:13:53 MSK 2024","Sun May 19 11:13:53 MSK 2024","330","Домашняя страница","Home","TestHomePage","","","Переход на страницу ""Оформление заказа""","Проверка коррекнтного перехода на страницу ""Оформление заказа"" по кнопке ""Заказать"" из header домашней страницы и блока ""Как это работает"""
"passed","Sun May 19 11:13:50 MSK 2024","Sun May 19 11:13:51 MSK 2024","385","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:51 MSK 2024","Sun May 19 11:13:51 MSK 2024","424","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:56 MSK 2024","Sun May 19 11:13:56 MSK 2024","333","Домашняя страница","Home","TestHomePage","","","Остаемся на домашней странице","Проверка корректных открытия и перехода на домашнюю страницу после клика на логотип Самокат в шапке домашней страницы"
"passed","Sun May 19 11:14:27 MSK 2024","Sun May 19 11:14:32 MSK 2024","4207","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до получения номера заказа","Проверка корректного оформления заказа с использованием двух наборов данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:13:52 MSK 2024","Sun May 19 11:13:52 MSK 2024","331","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:52 MSK 2024","Sun May 19 11:13:52 MSK 2024","341","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:52 MSK 2024","Sun May 19 11:13:53 MSK 2024","332","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:14:24 MSK 2024","Sun May 19 11:14:27 MSK 2024","3909","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до получения номера заказа","Проверка корректного оформления заказа с использованием двух наборов данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:13:53 MSK 2024","Sun May 19 11:13:56 MSK 2024","2275","Домашняя страница","Home","TestHomePage","","","Открытие вкладки /order","Проверка корректных открытия и перехода на страницу dzen.ru после клика на логотип Yandex в шапке страницы ""Оформление заказа"""
"passed","Sun May 19 11:14:06 MSK 2024","Sun May 19 11:14:19 MSK 2024","13177","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до получения номера заказа","Проверка корректного оформления заказа с использованием двух наборов данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:13:41 MSK 2024","Sun May 19 11:13:50 MSK 2024","8487","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:53 MSK 2024","Sun May 19 11:13:53 MSK 2024","332","Домашняя страница","Home","TestHomePage","","","Переход на страницу ""Оформление заказа""","Проверка коррекнтного перехода на страницу ""Оформление заказа"" по кнопке ""Заказать"" из header домашней страницы и блока ""Как это работает"""
"passed","Sun May 19 11:13:51 MSK 2024","Sun May 19 11:13:52 MSK 2024","351","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
"passed","Sun May 19 11:13:56 MSK 2024","Sun May 19 11:13:56 MSK 2024","334","Домашняя страница","Home","TestHomePage","","","Открытие домашней страницы","Проверка корректных открытия и перехода на страницу dzen.ru после клика на логотип ""Самокат"" вшапке страницы ""Оформление заказа"""
"passed","Sun May 19 11:14:32 MSK 2024","Sun May 19 11:14:35 MSK 2024","3745","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до перехода к заголовку ""Про аренду""","Проверка корректного оформления заказа с использованием одного набора данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:14:19 MSK 2024","Sun May 19 11:14:23 MSK 2024","4134","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до получения номера заказа","Проверка корректного оформления заказа с использованием двух наборов данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:14:35 MSK 2024","Sun May 19 11:14:39 MSK 2024","3734","Оформление заказа","Order","TestOrderPage","","","Заказ самоката до перехода к заголовку ""Про аренду""","Проверка корректного оформления заказа с использованием одного набора данных. Тест запускается при нажатии обеих кнопок ""Заказать"" на домашней странице"
"passed","Sun May 19 11:13:50 MSK 2024","Sun May 19 11:13:50 MSK 2024","367","Домашняя страница","Home","TestHomePage","","","Выпадение ответа при нажатии","Проверка нажатия всех восьми (8) кнопок с вопросами и получения соответствующего ответа"
